Date,IXIC,GSPC,GDAXI
2010-01-04,2308.419922,1132.98999,6048.299805
2010-01-05,2308.709961,1136.52002,6031.859863
2010-01-06,2301.090088,1137.140015,6034.330078
2010-01-07,2300.050049,1141.689941,6019.359863
2010-01-08,2317.169922,1144.97998,6037.609863
2010-01-11,2312.409912,1146.97998,6040.5
2010-01-12,2282.310059,1136.219971,5943
2010-01-13,2307.899902,1145.680054,5963.140137
2010-01-14,2316.73999,1148.459961,5988.879883
2010-01-15,2287.98999,1136.030029,5875.970215
2010-01-19,2320.399902,1150.22998,5918.549805
2010-01-20,2291.25,1138.040039,5976.47998
2010-01-21,2265.699951,1116.47998,5851.529785
2010-01-22,2205.290039,1091.76001,5746.970215
2010-01-25,2210.800049,1096.780029,5695.319824
2010-01-26,2203.72998,1092.170044,5631.370117
2010-01-27,2221.409912,1097.5,5668.930176
2010-01-28,2179,1084.530029,5643.200195
2010-01-29,2147.350098,1073.869995,5540.330078
2010-02-01,2171.199951,1089.189941,5608.790039
2010-02-02,2190.060059,1103.319946,5654.47998
2010-02-03,2190.909912,1097.280029,5709.660156
2010-02-04,2125.429932,1063.109985,5672.089844
2010-02-05,2141.120117,1066.189941,5533.240234
2010-02-08,2126.050049,1056.73999,5434.339844
2010-02-09,2150.870117,1070.52002,5484.850098
2010-02-10,2147.870117,1068.130005,5498.259766
2010-02-11,2177.409912,1078.469971,5536.370117
2010-02-12,2183.530029,1075.51001,5503.930176
2010-02-16,2214.189941,1094.869995,5500.390137
2010-02-17,2226.290039,1099.51001,5511.100098
2010-02-18,2241.709961,1106.75,5592.120117
2010-02-19,2243.870117,1109.170044,5648.339844
2010-02-22,2242.030029,1108.01001,5680.410156
2010-02-23,2213.439941,1094.599976,5722.049805
2010-02-24,2235.899902,1105.23999,5688.439941
2010-02-25,2234.219971,1102.939941,5604.069824
2010-02-26,2238.26001,1104.48999,5615.509766
2010-03-01,2273.570068,1115.709961,5532.330078
2010-03-02,2280.790039,1118.310059,5598.459961
2010-03-03,2280.679932,1118.790039,5713.509766
2010-03-04,2292.310059,1122.969971,5776.560059
2010-03-05,2326.350098,1138.699951,5817.879883
2010-03-08,2332.209961,1138.5,5795.319824
2010-03-09,2340.679932,1140.449951,5877.359863
2010-03-10,2358.949951,1145.609985,5875.910156
2010-03-11,2368.459961,1150.23999,5885.890137
2010-03-12,2367.659912,1149.98999,5936.720215
2010-03-15,2362.209961,1150.51001,5928.629883
2010-03-16,2378.01001,1159.459961,5945.109863
2010-03-17,2389.090088,1166.209961,5903.560059
2010-03-18,2391.280029,1165.829956,5970.990234
2010-03-19,2374.409912,1159.900024,6024.279785
2010-03-22,2395.399902,1165.810059,6012.310059
2010-03-23,2415.23999,1174.170044,5982.430176
2010-03-24,2398.76001,1167.719971,5987.5
2010-03-25,2397.409912,1165.72998,6017.27002
2010-03-26,2395.129883,1166.589966,6039
2010-03-29,2404.360107,1173.219971,6132.950195
2010-03-30,2410.689941,1173.27002,6120.049805
2010-03-31,2397.959961,1169.430054,6156.850098
2010-04-01,2402.580078,1178.099976,6142.450195
2010-04-05,2429.530029,1187.439941,6153.549805
2010-04-06,2436.810059,1189.439941,6235.560059
2010-04-07,2431.159912,1182.449951,6252.209961
2010-04-08,2436.810059,1186.439941,6222.410156
2010-04-09,2454.050049,1194.369995,6171.830078
2010-04-12,2457.870117,1196.47998,6249.700195
2010-04-13,2465.98999,1197.300049,6250.689941
2010-04-14,2504.860107,1210.650024,6230.830078
2010-04-15,2515.689941,1211.670044,6278.399902
2010-04-16,2481.26001,1192.130005,6291.450195
2010-04-19,2480.110107,1197.52002,6180.899902
2010-04-20,2500.310059,1207.170044,6162.439941
2010-04-21,2504.610107,1205.939941,6264.22998
2010-04-22,2519.070068,1208.670044,6230.379883
2010-04-23,2530.149902,1217.280029,6168.720215
2010-04-26,2522.949951,1212.050049,6259.529785
2010-04-27,2471.469971,1183.709961,6332.100098
2010-04-28,2471.72998,1191.359985,6159.509766
2010-04-29,2511.919922,1206.780029,6084.339844
2010-04-30,2461.189941,1186.689941,6144.910156
2010-05-03,2498.73999,1202.26001,6135.700195
2010-05-04,2424.25,1173.599976,6166.919922
2010-05-05,2402.290039,1165.869995,6006.859863
2010-05-06,2319.639893,1128.150024,5958.450195
2010-05-07,2265.639893,1110.880005,5908.259766
2010-05-10,2374.669922,1159.72998,5715.089844
2010-05-11,2375.310059,1155.790039,6017.910156
2010-05-12,2425.02002,1171.670044,6037.709961
2010-05-13,2394.360107,1157.439941,6183.490234
2010-05-14,2346.850098,1135.680054,6251.970215
2010-05-17,2354.22998,1136.939941,6056.709961
2010-05-18,2317.26001,1120.800049,6066.919922
2010-05-19,2298.370117,1115.050049,6155.930176
2010-05-20,2204.01001,1071.589966,5988.669922
2010-05-21,2229.040039,1087.689941,5867.879883
2010-05-24,2213.550049,1073.650024,5829.25
2010-05-25,2210.949951,1074.030029,5805.680176
2010-05-26,2195.879883,1067.949951,5670.040039
2010-05-27,2277.679932,1103.060059,5758.02002
2010-05-28,2257.040039,1089.410034,5937.140137
2010-06-01,2222.330078,1070.709961,5946.180176
2010-06-02,2281.070068,1098.380005,5964.330078
2010-06-03,2303.030029,1102.829956,5981.27002
2010-06-04,2219.169922,1064.880005,5981.200195
2010-06-07,2173.899902,1050.469971,6054.629883
2010-06-08,2170.570068,1062,5938.879883
2010-06-09,2158.850098,1055.689941,5904.950195
2010-06-10,2218.709961,1086.839966,5868.549805
2010-06-11,2243.600098,1091.599976,5984.75
2010-06-14,2243.959961,1089.630005,6056.589844
2010-06-15,2305.879883,1115.22998,6047.830078
2010-06-16,2305.929932,1114.609985,6125
2010-06-17,2307.159912,1116.040039,6175.049805
2010-06-18,2309.800049,1117.51001,6190.910156
2010-06-21,2289.090088,1113.199951,6223.540039
2010-06-22,2261.800049,1095.310059,6216.97998
2010-06-23,2254.22998,1092.040039,6292.970215
2010-06-24,2217.419922,1073.689941,6269.040039
2010-06-25,2223.47998,1076.76001,6204.52002
2010-06-28,2220.649902,1074.569946,6115.47998
2010-06-29,2135.179932,1041.23999,6070.600098
2010-06-30,2109.23999,1030.709961,6157.220215
2010-07-01,2101.360107,1027.369995,5952.029785
2010-07-02,2091.790039,1022.580017,5965.52002
2010-07-06,2093.879883,1028.060059,5857.430176
2010-07-07,2159.469971,1060.27002,5834.149902
2010-07-08,2175.399902,1070.25,5816.200195
2010-07-09,2196.449951,1077.959961,5940.97998
2010-07-12,2198.360107,1078.75,5992.859863
2010-07-13,2242.030029,1095.339966,6035.660156
2010-07-14,2249.840088,1095.170044,6065.240234
2010-07-15,2249.080078,1096.47998,6077.189941
2010-07-16,2179.050049,1064.880005,6191.129883
2010-07-19,2198.22998,1071.25,6209.759766
2010-07-20,2222.48999,1083.47998,6149.359863
2010-07-21,2187.330078,1069.589966,6040.27002
2010-07-22,2245.889893,1093.670044,6009.109863
2010-07-23,2269.469971,1102.660034,5967.490234
2010-07-26,2296.429932,1115.01001,5990.379883
2010-07-27,2288.25,1113.839966,6142.149902
2010-07-28,2264.560059,1106.130005,6166.339844
2010-07-29,2251.689941,1101.530029,6194.209961
2010-07-30,2254.699951,1101.599976,6207.310059
2010-08-02,2295.360107,1125.859985,6178.939941
2010-08-03,2283.52002,1120.459961,6134.700195
2010-08-04,2303.570068,1127.23999,6147.970215
2010-08-05,2293.060059,1125.810059,6292.129883
2010-08-06,2288.469971,1121.640015,6307.910156
2010-08-09,2305.689941,1127.790039,6331.330078
2010-08-10,2277.169922,1121.060059,6333.580078
2010-08-11,2208.629883,1089.469971,6259.629883
2010-08-12,2190.27002,1083.609985,6351.600098
2010-08-13,2173.47998,1079.25,6286.25
2010-08-16,2181.870117,1079.380005,6154.069824
2010-08-17,2209.439941,1092.540039,6135.169922
2010-08-18,2215.699951,1094.160034,6110.410156
2010-08-19,2178.949951,1075.630005,6110.569824
2010-08-20,2179.76001,1071.689941,6206.399902
2010-08-23,2159.629883,1067.359985,6186.310059
2010-08-24,2123.76001,1051.869995,6075.129883
2010-08-25,2141.540039,1055.329956,6005.160156
2010-08-26,2118.689941,1047.219971,6010.910156
2010-08-27,2153.629883,1064.589966,5935.439941
2010-08-30,2119.969971,1048.920044,5899.5
2010-08-31,2114.030029,1049.329956,5912.580078
2010-09-01,2176.840088,1080.290039,5951.169922
2010-09-02,2200.01001,1090.099976,5912.410156
2010-09-03,2233.75,1104.51001,5925.220215
2010-09-07,2208.889893,1091.839966,6083.899902
2010-09-08,2228.870117,1098.869995,6083.850098
2010-09-09,2236.199951,1104.180054,6134.620117
2010-09-10,2242.47998,1109.550049,6155.040039
2010-09-13,2285.709961,1121.900024,6117.890137
2010-09-14,2289.77002,1121.099976,6164.439941
2010-09-15,2301.320068,1125.069946,6221.52002
2010-09-16,2303.25,1124.660034,6214.77002
2010-09-17,2315.610107,1125.589966,6261.680176
2010-09-20,2355.830078,1142.709961,6275.410156
2010-09-21,2349.350098,1139.780029,6261.870117
2010-09-22,2334.550049,1134.280029,6249.649902
2010-09-23,2327.080078,1124.829956,6209.759766
2010-09-24,2381.219971,1148.670044,6294.580078
2010-09-27,2369.77002,1142.160034,6275.97998
2010-09-28,2379.590088,1147.699951,6208.330078
2010-09-29,2376.560059,1144.72998,6184.709961
