,Y,X1,X2,X3
2003-03-31,0.000255971,0.01148495,0.005532336,0.0001
2003-06-30,0.006319611,-0.00435968,0.008565807,-0.0003
2003-09-30,-0.0097532,0.010863768,0.016839511,-0.0021
2003-12-31,-0.009998282,0.002158662,0.011416256,-0.0003
2004-03-31,0.007462291,0.008588351,0.005323279,0.0002
2004-06-30,-0.024600701,0.009574541,0.007591872,0.0003
2004-09-30,0.005656262,0.004753112,0.009408878,0.0058
2004-12-31,-0.008375782,0.009960764,0.009966906,0.0055
2005-03-31,-0.013558614,0.007276539,0.011008815,0.0047
2005-06-30,0.007427333,0.003102381,0.004604994,0.0041
2005-09-30,-0.014345266,0.025988724,0.008873849,0.0058
2005-12-31,-0.00706832,-0.003527341,0.006294777,0.0054
2006-03-31,-0.012559583,0.008044287,0.013215165,0.0043
2006-06-30,-0.010584297,0.010460867,0.002334271,0.004
2006-09-30,0.011516679,0.004943164,0.001545134,0.0026
2006-12-31,-0.0009536,0.001478197,0.008482573,-1.00E-04
2007-03-31,0.000324444,0.010715403,0.002352163,0.0002
2007-06-30,-0.010722963,0.009434718,0.005712377,-0.0001
2007-09-30,0.012233043,0.006315846,0.005418009,-0.0031
2007-12-31,0.016042877,0.013800482,0.00606002,-0.007
2008-03-31,0.027159975,0.009428326,-0.005763576,-0.0163
2008-06-30,-0.01914891,0.018635478,0.005150584,-0.0061
2008-09-30,-0.002020011,0.006481207,-0.005428262,-0.0019
2008-12-31,0.05397178,-0.034767316,-0.021875649,-0.0165
2009-03-31,-0.004187112,0.005175846,-0.011290448,0.0002
2009-06-30,-0.012788774,0.010742348,-0.001440935,0.0003
2009-09-30,0.006736121,0.004973875,0.003634498,-0.0006
2009-12-31,-0.008902004,0.006860473,0.010923957,-0.0003
2010-03-31,0.002842405,2.76E-05,0.003840414,0.0004
2010-06-30,0.010979706,-0.000708776,0.009178036,0.0002
2010-09-30,0.009675145,0.004941752,0.007345072,0.0001
2010-12-31,-0.013735344,0.010014967,0.005006472,-0.0001
2011-03-31,-0.00540017,0.011607326,-0.002407308,-0.0004
2011-06-30,0.006104815,0.00785978,0.007124295,-0.0005
2011-09-30,0.015794775,0.007935301,-0.000277825,-1.00E-04
2011-12-31,-0.001601527,0.002758805,0.011526168,-1.00E-04
2012-03-31,-0.002670548,0.006946939,0.007799433,0.0006
2012-06-30,0.006295534,-0.001237616,0.004292788,0.0003
2012-09-30,0.002139277,0.010841406,0.001348572,-0.0002
2012-12-31,-0.002913838,0.00089132,0.001138085,0.0002
2013-03-31,-0.003248809,0.004578188,0.00881776,-0.0002
2013-06-30,-0.011183223,0.000701487,0.001233204,-0.0005
2013-09-30,-0.001447522,0.004716858,0.007803624,-1.00E-04
2013-12-31,-0.005612931,0.005018558,0.007950798,1.00E-04
2014-03-31,0.001977284,0.005561388,-0.002831056,-1.00E-04
2014-06-30,0.001698013,0.005083908,0.013446009,0.0002
2014-09-30,-0.003032778,0.001036427,0.01213539,-0.0001
2014-12-31,0.003484127,-0.005171745,0.00561216,0.0003
2015-03-31,0.003572457,-0.001168927,0.009446788,-1.00E-04
2015-06-30,-0.007775686,0.007098353,0.006743344,0.0002
2015-09-30,0.00660137,-0.000669255,0.003619486,0.0001
2015-12-31,-0.008305654,0.001106765,0.001602339,0.001
2016-03-31,0.009461237,0.000962689,0.005648153,0.0012
2016-06-30,0.003661944,0.009010087,0.003114329,0.0002
2016-09-30,-0.005115003,0.003840308,0.005429196,0.0002
2016-12-31,-0.017171243,0.006796504,0.006273265,0.0014
2017-03-31,-0.003597761,0.004148573,0.005640751,0.0025
2017-06-30,-8.64E-06,0.001877434,0.004260352,0.0025
2017-09-30,-0.002142783,0.009237282,0.007261905,0.0011
2017-12-31,-0.006483258,0.005672775,0.009511396,0.0015
2018-03-31,-0.0128559,0.006298537,0.009273658,0.0021
2018-06-30,-0.004886103,0.007043732,0.006664026,0.0031
2018-09-30,-0.005441126,0.004310377,0.005238213,0.0013
2018-12-31,0.006176054,0.00155274,0.003277836,0.0032
2019-03-31,0.005993663,0.005691207,0.007225062,0.0014
2019-06-30,0.011228138,0.005130562,0.003700307,-0.0003
2019-09-30,0.007049667,0.004652398,0.00634895,-0.0034
2019-12-31,-0.005107554,0.007187864,0.005845202,-0.0049
2020-03-31,0.028096247,-0.001901638,-0.012706938,-0.009
2020-06-30,0.006659827,-0.002868975,-0.094158128,-0.0057
